,기온,풍속,습도,증기압,이슬점,현지기압,전운량,중하층,지면온도,log_percip,1시간전,2시간전,3시간전,4시간전,5시간전,6시간전,마포 강수량,마포 1시간전,마포 2시간전,마포 3시간전,마포 4시간전,마포 5시간전,마포 6시간전,성북 강수량,성북 1시간전,성북 2시간전,성북 3시간전,성북 4시간전,성북 5시간전,성북 6시간전,성동 강수량,성동 1시간전,성동 2시간전,성동 3시간전,성동 4시간전,성동 5시간전,성동 6시간전,용산 강수량,용산 1시간전,용산 2시간전,용산 3시간전,용산 4시간전,용산 5시간전,용산 6시간전
6시간전,-0.021391942695602264,0.07798835939324782,0.28437331155974255,0.1843055234253936,0.17184850674069882,-0.1921648925340694,0.2368689627652791,0.23632601740195727,-0.043613164262926045,0.30700430797373024,0.3483974618696736,0.39725587888231934,0.4593363741126141,0.5515520847581281,0.7107624646397829,1.0,0.2960479252367225,0.33568906061620707,0.38499640202077423,0.4474399325538659,0.5392227486219621,0.6789911552008289,0.9299567789371407,0.31249046782612916,0.35558400652453875,0.40201073864906167,0.4664202596082185,0.5542302271317499,0.716168592492842,0.9096254477676109,0.29966598606143613,0.3442321865754904,0.39496695813552307,0.4653134835290022,0.5585658691671956,0.7159180264723976,0.8764991081675665,0.29435651516742906,0.33907368982778147,0.38891516828467126,0.4551592168192435,0.5508573115224766,0.6930780374776565,0.8878010535107074
마포 강수량,-0.03307132896965012,0.06519900171245782,0.31549332902194765,0.1920609508240218,0.17765033921102336,-0.16766011688450763,0.25880444965840865,0.2616352546363639,-0.05325391316339351,0.9299567789371308,0.678991155200827,0.5392227486219641,0.44743993255386566,0.384996402020772,0.33568906061620246,0.2960479252367225,1.0,0.7014859815198993,0.5418053455521677,0.4466122039249856,0.3788184094540168,0.3312537966867301,0.2928418144190291,0.8634042494639156,0.651122621780949,0.5238774471146551,0.43531163063721506,0.37794172130720755,0.3323794398802283,0.2942924877974895,0.8494756963093589,0.6413905280563028,0.5125661458338994,0.41938305294892236,0.3608711029171271,0.311628152496293,0.2748363687042928,0.8741651687266407,0.6687602129034519,0.5262244596228274,0.4288713025536637,0.36685717921682043,0.31735689189308386,0.279142358470247
마포 1시간전,-0.035570552192288794,0.059541598227086635,0.3157959494626153,0.18953528616022208,0.17585936173083114,-0.17322219942444125,0.25397562406486063,0.2535892748729671,-0.052453844227892024,0.7190099070682763,0.9299567789371357,0.6789911552008334,0.5392227486219622,0.4474399325538668,0.3849964020207714,0.33568906061620707,0.7014859815198993,1.0,0.7014859815198965,0.5418053455521669,0.44661220392498335,0.3788184094540196,0.3312537966867292,0.7185579304923939,0.8634042494639209,0.6511226217809551,0.5238774471146553,0.4353116306372169,0.3779417213072081,0.3323794398802288,0.7251204831096923,0.8494756963093599,0.6413905280563044,0.5125661458339011,0.41938305294892464,0.3608711029171276,0.3116281524962932,0.7036140995637608,0.8741651687266452,0.6687602129034468,0.5262244596228268,0.4288713025536632,0.3668571792168227,0.31735689189308647
마포 2시간전,-0.033998747359717314,0.06636464007505143,0.3079589327387093,0.18596570349821412,0.17307225466409668,-0.1773949539781805,0.24827841209971188,0.245759525221548,-0.05087094767087277,0.5476949147918939,0.7190099070682763,0.9299567789371366,0.6789911552008279,0.5392227486219657,0.44743993255386394,0.38499640202077423,0.5418053455521677,0.7014859815198965,1.0,0.7014859815198975,0.5418053455521648,0.44661220392498335,0.3788184094540172,0.5516409160867458,0.7185579304923886,0.8634042494639164,0.6511226217809483,0.5238774471146539,0.43531163063721484,0.3779417213072067,0.5598984712981029,0.7251204831096912,0.8494756963093585,0.6413905280562994,0.5125661458339006,0.41938305294892336,0.3608711029171246,0.5507238299555017,0.7036140995637584,0.8741651687266312,0.6687602129034433,0.5262244596228199,0.4288713025536629,0.3668571792168211
마포 3시간전,-0.031177928559676545,0.06844754983010148,0.2981525671599304,0.18225623188320503,0.16997641668106767,-0.18032822580763538,0.2421226776175839,0.23838439634988778,-0.04901289407456633,0.4538185336646725,0.547694914791892,0.719009907068276,0.9299567789371358,0.6789911552008328,0.5392227486219648,0.4474399325538659,0.4466122039249856,0.5418053455521669,0.7014859815198975,1.0,0.7014859815198987,0.5418053455521671,0.44661220392498435,0.4619251698913341,0.5516409160867466,0.7185579304923877,0.8634042494639194,0.6511226217809518,0.5238774471146561,0.43531163063721184,0.46265225714369956,0.5598984712981018,0.72512048310969,0.8494756963093577,0.6413905280563011,0.5125661458338989,0.4193830529489224,0.4534080494200075,0.5507238299555005,0.7036140995637558,0.8741651687266375,0.6687602129034418,0.5262244596228204,0.4288713025536623
마포 4시간전,-0.028088888576684796,0.0698590321113552,0.2884899714684803,0.17902375833706022,0.16707077115329777,-0.18216206803341026,0.23565962216834765,0.2324797296185387,-0.0464322369410349,0.3875229989598865,0.45381853366467334,0.5476949147918967,0.7190099070682762,0.9299567789371408,0.6789911552008302,0.5392227486219621,0.3788184094540168,0.44661220392498335,0.5418053455521648,0.7014859815198987,1.0,0.7014859815198986,0.5418053455521664,0.394052244534213,0.46192516989133203,0.5516409160867451,0.7185579304923937,0.8634042494639119,0.6511226217809527,0.5238774471146567,0.390045203352021,0.46265225714369523,0.5598984712981021,0.7251204831096902,0.8494756963093598,0.6413905280563025,0.5125661458339003,0.3821466136577122,0.453408049420008,0.5507238299554983,0.7036140995637546,0.8741651687266361,0.6687602129034462,0.5262244596228235
마포 5시간전,-0.025051214803005598,0.07216486056872246,0.2788622585170269,0.17576435608768615,0.16401303096160194,-0.18312906870347218,0.22926912706531052,0.2278975225985459,-0.044114219287894836,0.34150749143273074,0.3875229989598871,0.45381853366467817,0.5476949147918971,0.7190099070682793,0.9299567789371337,0.6789911552008289,0.3312537966867301,0.3788184094540196,0.44661220392498335,0.5418053455521671,0.7014859815198986,1.0,0.7014859815198987,0.35026756235535506,0.39405224453421184,0.4619251698913332,0.5516409160867461,0.7185579304923865,0.8634042494639167,0.6511226217809478,0.3391346282133058,0.3900452033520207,0.46265225714369773,0.5598984712981018,0.7251204831096918,0.8494756963093568,0.6413905280563003,0.3316903155916181,0.38214661365771424,0.4534080494200089,0.5507238299555,0.7036140995637569,0.8741651687266383,0.6687602129034445
마포 6시간전,-0.022035152960660147,0.07399808537770304,0.26902298643699396,0.17232630233781318,0.16073427070104582,-0.18317947908220245,0.22363239554316416,0.2228902378316331,-0.04193009826373207,0.30118497118603343,0.34150749143273385,0.3875229989598884,0.45381853366467684,0.5476949147919004,0.7190099070682787,0.9299567789371407,0.2928418144190291,0.3312537966867292,0.3788184094540172,0.44661220392498435,0.5418053455521664,0.7014859815198987,1.0,0.3074508360858173,0.35026756235535655,0.39405224453421317,0.46192516989133553,0.5516409160867453,0.7185579304923909,0.863404249463924,0.29664572012268975,0.33913462821330553,0.3900452033520199,0.46265225714369684,0.5598984712981024,0.7251204831096946,0.8494756963093625,0.2901576354378803,0.3316903155916197,0.38214661365771313,0.45340804942000784,0.5507238299554991,0.7036140995637544,0.8741651687266362
성북 강수량,-0.029764586527547793,0.07912768310935926,0.32813123358667656,0.20497898931604985,0.1885126751844377,-0.1787502277245862,0.2686820031871799,0.27298637779253676,-0.05290861413793977,0.9096254477675997,0.7161685924928469,0.5542302271317526,0.4664202596082172,0.40201073864906345,0.35558400652453864,0.31249046782612916,0.8634042494639156,0.7185579304923939,0.5516409160867458,0.4619251698913341,0.394052244534213,0.35026756235535506,0.3074508360858173,1.0,0.7079069220738134,0.5551135386223371,0.46665967303546657,0.40522568035079204,0.35747999291643223,0.3153666197799356,0.8387454379075285,0.666383974907261,0.5236214167790932,0.43900362263134934,0.377469990013454,0.3329231254191102,0.29197683064588453,0.8249657994914664,0.6841323837426905,0.5356195695125642,0.446909794729088,0.3808994195722515,0.33513422428657097,0.2957106216006975
성북 1시간전,-0.03161872860965015,0.07418765817561787,0.3268139038772914,0.20224575699857636,0.18654499047432574,-0.18381189390613045,0.26361877945723583,0.26456384481252343,-0.05249744471225938,0.6788080409150848,0.9096254477676091,0.7161685924928449,0.5542302271317527,0.46642025960821937,0.40201073864906134,0.35558400652453875,0.651122621780949,0.8634042494639209,0.7185579304923886,0.5516409160867466,0.46192516989133203,0.39405224453421184,0.35026756235535655,0.7079069220738134,1.0,0.7079069220738106,0.5551135386223369,0.46665967303546735,0.40522568035079426,0.35747999291643456,0.6818467367301451,0.8387454379075273,0.6663839749072594,0.5236214167790952,0.4390036226313511,0.37746999001345366,0.33292312541910957,0.6595970870449962,0.824965799491468,0.6841323837426868,0.5356195695125634,0.44690979472908776,0.3808994195722513,0.33513422428656975
